postid,likes,category,imagelink,data
ig40663736,894,carnegiemellon,https://instagram.fagc1-1.fna.fbcdn.net/v/t51.2885-15/e35/182839957_337719327789198_278419215509880185_n.jpg?tp=1&_nc_ht=instagram.fagc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=8IP5gC8MLDEAX_9p2UB&edm=ABfd0MgBAAAA&ccb=7-4&oh=9f7fd61b475b697a732b854431ba1686&oe=60BE87F6&_nc_sid=7bff83,{'text': 'The stage is yours 🎤🎧\n\n📸: @jdh2205 \n#Lifeatcmu'}
ig73226027,2279,carnegiemellon,https://instagram.fagc1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/182879985_1103414286813630_5331087366920713722_n.jpg?tp=1&_nc_ht=instagram.fagc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=u8q-YulVigQAX-Ih0Xm&edm=ABfd0MgBAAAA&ccb=7-4&oh=39597a65eefe7dba27b816ea0abe1673&oe=60BD93E6&_nc_sid=7bff83,{'text': 'Walking into the last week of class like 🙌💪🙏🤞\n\n📸: @imsandydk \n#LifeatCMU'}
ig56515579,1595,carnegiemellon,https://instagram.fagc1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/181041133_315985159899150_6127147658004813218_n.jpg?tp=1&_nc_ht=instagram.fagc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=YK8MR1f5E1sAX9u65w4&edm=ABfd0MgBAAAA&ccb=7-4&oh=dbfd56f9f364dee56e167f09a604f89a&oe=60BE5FC9&_nc_sid=7bff83,{'text': 'Sundaze 🌤\n\n📸: @pdanton2 \n#LifeatCMU'}
ig87226384,1757,carnegiemellon,https://instagram.fagc1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/179279949_209060250756886_6051460097156707406_n.jpg?tp=1&_nc_ht=instagram.fagc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=CsK2w1GoRTwAX9Au0hY&edm=ABfd0MgBAAAA&ccb=7-4&oh=5368ef7ccf2fedf84342d4bbb32ea95e&oe=60BF0EEB&_nc_sid=7bff83,{'text': 'The weekend always adds a little spring to every step. 🚶🏻\u200d♀️\n📸: @pdanton2 \n#LifeAtCMU'}
ig21827968,2179,carnegiemellon,https://instagram.fagc1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/178478516_860898454488098_6961105578286254336_n.jpg?tp=1&_nc_ht=instagram.fagc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=uZ_hL9T3Sg8AX9xme2r&edm=ABfd0MgBAAAA&ccb=7-4&oh=4b9f1fd1d1d206ccda3c6828720da9c5&oe=60BF7EA2&_nc_sid=7bff83,{'text': 'The time is now ⏰\n\n📸: @pdanton2 \n#LifeAtCMU'}
ig39909517,1276,carnegiemellon,https://instagram.fagc1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/175638850_775214816498257_3041523568939964909_n.jpg?tp=1&_nc_ht=instagram.fagc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=V6Anr4vNKFwAX8MK2ow&edm=ABfd0MgBAAAA&ccb=7-4&oh=878310a42073795a6be532c091602c8e&oe=60BF112D&_nc_sid=7bff83,"{'text': 'LEED Gold certified, Ansys Hall 🤩 \n\n#LifeAtCMU'}"
ig19684774,2193,carnegiemellon,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/173834782_559491321700347_3793977877372390068_n.jpg?tp=1&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=U39at5fFOREAX-CYE3p&edm=ABfd0MgBAAAA&ccb=7-4&oh=bf38c257df4d6a114e1215f878f1dbae&oe=60BED99A&_nc_sid=7bff83,{'text': 'It’s all about perspective 🙃\n\n#LifeAtCMU\n📸: @jdh2205'}
ig57978357,1657,carnegiemellon,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/172124638_165385775360700_3883074771324522625_n.jpg?tp=1&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=vlXg6o73_QoAX-565d8&edm=ABfd0MgBAAAA&ccb=7-4&oh=26623808dc2815fdbb27dfa9867a0fa2&oe=60BE1478&_nc_sid=7bff83,{'text': 'It’s a good day to have a good day ⛅️\n#LifeAtCMU'}
ig58455394,2964,carnegiemellon,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/170483072_1049293085598876_4843212816686739527_n.jpg?tp=1&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=v3MW5qsZwA8AX_82bjZ&edm=ABfd0MgBAAAA&ccb=7-4&oh=6b4e210b0cd1b6f0f819e00be37a3ee3&oe=60BE0827&_nc_sid=7bff83,"{'text': 'Another beautiful spring day. 🌸\nHave a happy and safe weekend, Tartans! #LifeAtCMU'}"
ig42874312,16,iris_rover,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/179095435_2601761146794196_6683699646101665433_n.jpg?tp=1&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=jnLbTAaFkaEAX_PoTJb&edm=ABfd0MgBAAAA&ccb=7-4&oh=749d54db78891c1a15ed94baf2ba0fa7&oe=60BF4040&_nc_sid=7bff83,"{'text': 'The last day of the Moonshot Crowdfunding Campaign is here! This is our final shot to send your name to the Moon with Iris! \u2060\n\u2060\nWe are currently at $40,000 out of our $50,000 goal. Please consider donating to support the world’s first nano, non-governmental, university-initiated, and student-developed rover that will operate beyond planet Earth. Anyone who makes a gift through our crowdfunding page will be added to a list of names that will be aboard Iris’s memory at launch and be a part of history!\u2060\n\u2060\nLink to donate to the Moonshot Crowdfunding Effort in bio 🚀🌕\u2060'}"
